Table Name,Column Name,Data Type,Primary Key,Foreign Key / Reference,Nullable,Screen Field Label,Business Description
branch_master,branch_id,uniqueidentifier,YES,,NO,Branch,Primary key for branch
branch_master,branch_code,varchar(20),,,NO,Branch Code,Short branch code
branch_master,branch_name,varchar(100),,,NO,Branch Name,Branch name
branch_master,region,varchar(50),,,YES,Region,Region/zone
branch_master,state_code,varchar(10),,,YES,State Code,Indian state code
branch_master,city,varchar(80),,,YES,City,City
branch_master,address,varchar(300),,,YES,Address,Branch address
branch_master,is_workshop,bit,,,NO,Is Workshop,Whether branch has internal workshop
branch_master,is_store,bit,,,NO,Is Store,Whether branch has inventory store
branch_master,status,varchar(20),,,NO,Status,Active/Inactive
branch_master,created_at,datetime2,,,NO,Created At,Record created timestamp
user_master,user_id,uniqueidentifier,YES,,NO,User,Primary key
user_master,login_id,varchar(80),,,NO,Login,Login/email/mobile
user_master,display_name,varchar(120),,,NO,Display Name,User name
user_master,mobile_no,varchar(15),,,YES,Mobile No,Mobile number
user_master,email,varchar(120),,,YES,Email,Email
user_master,role_code,varchar(50),,YES: role_master.role_code,NO,Role Code,Primary role
user_master,branch_id,uniqueidentifier,,YES: branch_master.branch_id,YES,Branch,Default branch
user_master,status,varchar(20),,,NO,Status,Active/Inactive
user_master,created_at,datetime2,,,NO,Created At,Created timestamp
role_master,role_code,varchar(50),YES,,NO,Role Code,Role code
role_master,role_name,varchar(100),,,NO,Role Name,Role name
role_master,description,varchar(300),,,YES,Description,Role description
role_master,is_active,bit,,,NO,Is Active,Active flag
vendor_master,vendor_id,uniqueidentifier,YES,,NO,Vendor,Primary key
vendor_master,vendor_code,varchar(30),,,NO,Vendor Code,Vendor code
vendor_master,vendor_name,varchar(150),,,NO,Vendor Name,Vendor name
vendor_master,vendor_type,varchar(50),,,NO,Vendor Type,Fuel/Workshop/Tyre/Accessory/Consumable/Insurance/RTO
vendor_master,gstin,varchar(15),,,YES,Gstin,GSTIN
vendor_master,pan_no,varchar(10),,,YES,Pan No,PAN
vendor_master,contact_person,varchar(100),,,YES,Contact Person,Contact
vendor_master,mobile_no,varchar(15),,,YES,Mobile No,Mobile
vendor_master,email,varchar(120),,,YES,Email,Email
vendor_master,address,varchar(300),,,YES,Address,Address
vendor_master,payment_terms_days,int,,,YES,Payment Terms Days,Payment terms
vendor_master,status,varchar(20),,,NO,Status,Active/Blocked/Inactive
driver_master,driver_id,uniqueidentifier,YES,,NO,Driver,Primary key
driver_master,driver_code,varchar(30),,,NO,Driver Code,Driver code
driver_master,driver_name,varchar(120),,,NO,Driver Name,Driver full name
driver_master,mobile_no,varchar(15),,,YES,Mobile No,Mobile
driver_master,licence_no,varchar(30),,,YES,Licence No,Driving licence number
driver_master,licence_valid_upto,date,,,YES,Licence Valid Upto,DL expiry
driver_master,hazmat_certified,bit,,,NO,Hazmat Certified,Hazardous cargo certification
