Child Table,Child Column,Parent Table,Parent Column,Relationship,Constraint Type,Business Meaning
user_master,role_code,role_master,role_code,Many-to-One,FK,Primary role
user_master,branch_id,branch_master,branch_id,Many-to-One,FK,Default branch
driver_master,vendor_id,vendor_master,vendor_id,Many-to-One,FK,Vendor if attached driver
driver_master,home_branch_id,branch_master,branch_id,Many-to-One,FK,Home branch
vehicle_master,branch_id,branch_master,branch_id,Many-to-One,FK,Operating branch
vehicle_master,current_driver_id,driver_master,driver_id,Many-to-One,FK,Assigned driver
vehicle_fuel_profile,vehicle_id,vehicle_master,vehicle_id,Many-to-One,FK,Vehicle FK
trailer_master,branch_id,branch_master,branch_id,Many-to-One,FK,Branch
vehicle_trailer_coupling,vehicle_id,vehicle_master,vehicle_id,Many-to-One,FK,Vehicle
vehicle_trailer_coupling,trailer_id,trailer_master,trailer_id,Many-to-One,FK,Trailer
vehicle_trailer_coupling,coupled_by_user_id,user_master,user_id,Many-to-One,FK,User
fuel_vendor_station,vendor_id,vendor_master,vendor_id,Many-to-One,FK,Vendor
fuel_rate_master,station_id,fuel_vendor_station,station_id,Many-to-One,FK,Station
fuel_transaction,vehicle_id,vehicle_master,vehicle_id,Many-to-One,FK,Vehicle
fuel_transaction,trip_id,trip_master,trip_id,Many-to-One,FK,Trip/LR reference
fuel_transaction,driver_id,driver_master,driver_id,Many-to-One,FK,Driver
fuel_transaction,station_id,fuel_vendor_station,station_id,Many-to-One,FK,Fuel/charging station
fuel_transaction,invoice_id,vendor_invoice,invoice_id,Many-to-One,FK,Vendor bill
fuel_variance,fuel_txn_id,fuel_transaction,fuel_txn_id,Many-to-One,FK,Fuel transaction
fuel_variance,route_fuel_norm_id,route_fuel_norm,route_fuel_norm_id,Many-to-One,FK,Norm
fuel_variance,approved_by_user_id,user_master,user_id,Many-to-One,FK,Approver
asset_compliance,compliance_type_code,compliance_type_master,compliance_type_code,Many-to-One,FK,Compliance type
compliance_alert,asset_compliance_id,asset_compliance,asset_compliance_id,Many-to-One,FK,Compliance record
