Screen ID,Screen Name,Module,Phase,Primary Template,Primary Table/View,Notes
FM-001,Fleet Command Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-002,Vehicle Availability Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-003,Fleet Cost Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-004,Compliance Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-005,Maintenance Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-006,Tyre Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-007,Fuel & Energy Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-008,Workshop Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
FM-009,Exception Dashboard,Dashboard,P1,Dashboard,"vehicle_cost_ledger, vehicle_master, trailer_master",Generated from BRD screen inventory
VM-001,Vehicle List,Vehicle Master,P1,List/Grid,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-002,Add Vehicle,Vehicle Master,P1,Transaction/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-003,Edit Vehicle,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-004,Vehicle Detail View,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-005,Vehicle Technical Details,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-006,Vehicle Fuel Configuration,Vehicle Master,P1,Master/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-007,Vehicle Capacity Configuration,Vehicle Master,P1,Master/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-008,Vehicle Ownership Details,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-009,Vehicle Branch Mapping,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-010,Vehicle Driver Mapping,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-011,Vehicle Status Update,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-012,Vehicle Document Repository,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-013,Vehicle Timeline,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-014,Vehicle Cost Ledger,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-015,Vehicle Profitability View,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-016,Vehicle Import,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VM-017,Vehicle Export,Vehicle Master,P1,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VD-001,Diesel Vehicle Configuration,Diesel Vehicle,P3,Master/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VD-002,Diesel Mileage History,Diesel Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VD-003,Diesel Variance View,Diesel Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VCNG-001,CNG Vehicle Configuration,CNG Vehicle,P3,Master/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VCNG-002,CNG Cylinder Certificate,CNG Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VCNG-003,CNG Safety Checklist,CNG Vehicle,P3,List/Grid,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VCNG-004,CNG Range View,CNG Vehicle,P3,Report/View,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VLNG-001,LNG Vehicle Configuration,LNG Vehicle,P3,Master/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VLNG-002,LNG Tank Certificate,LNG Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VLNG-003,LNG Safety Checklist,LNG Vehicle,P3,List/Grid,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VLNG-004,LNG Range View,LNG Vehicle,P3,Report/View,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VLNG-005,LNG Station Compatibility,LNG Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VEV-001,EV Vehicle Configuration,EV Vehicle,P3,Master/Form,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VEV-002,Battery Health View,EV Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VEV-003,Charging Compatibility,EV Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VEV-004,EV Range View,EV Vehicle,P3,Report/View,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
VEV-005,EV Warranty Documents,EV Vehicle,P3,Detail/Workbench,"vehicle_master, vehicle_fuel_profile",Generated from BRD screen inventory
TR-001,Trailer List,Trailer,P1,List/Grid,trailer_master,Generated from BRD screen inventory
TR-002,Add Trailer,Trailer,P1,Transaction/Form,trailer_master,Generated from BRD screen inventory
TR-003,Edit Trailer,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-004,Trailer Detail View,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
TR-005,Trailer Capacity Details,Trailer,P1,Detail/Workbench,trailer_master,Generated from BRD screen inventory
